territory_code,territory,in_bassin_nord,target_basin,mapping_method,mapping_note
76,Mutsaard,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
77,Heembeek,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
78,Haren,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
79,Paix,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
80,Helmet,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
81,Gare de Schaerbeek,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
82,Terdelt,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
83,Conscience,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
84,Avenue Léopold III,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
85,Gare Josaphat,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
86,Paduwa,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
87,Reyers,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
88,Georges Henri,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
89,Gribaumont,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
90,Roodebeek - Constellations,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
91,Val d'Or,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
92,Kapelleveld,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
93,Boulevard de la Woluwe,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
94,Stockel,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
95,Sainte-Alix - Joli Bois,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
96,Saint-Paul,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
97,Putdael,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
98,Auderghem centre,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
99,Chant d'Oiseau,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
100,Chaussée de Wavre - Saint-Julien,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
101,Trois Tilleuls,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
102,Transvaal,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
103,Boitsfort Centre,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
104,Watermael Centre,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
105,Dries,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
106,Boondael,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
107,Université,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
108,Montjoie - Langeveld,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
109,Observatoire,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
110,Fort Jaco,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
111,Vivier d'Oie,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
112,Kriekenput - Homborch - Verrewinkel,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
113,Saint-Job Kauwberg,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
114,Dieweg,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
115,Kalevoet - Moensberg,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
116,Globe,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
117,Vossegat - Roosendaal,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
118,Saint-Denis - Neerstalle,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
700,Cimetière de Bruxelles,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
701,Cimetière d'Ixelles,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
702,Cimetière de Saint-Gilles,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
800,Industrie Nord,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
801,Industrie OTAN,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
802,Delta,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
803,Industrie Sud,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
804,Gare du Midi,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
805,Industrie Birmingham,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
900,Domaine Royal Laeken,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
901,Parc Josaphat,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
902,Botanique,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
903,Cinquantenaire,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
904,Parc Léopold,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
905,Parc de la Woluwe,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
906,Forêt de Soignes,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
907,Bois de la Cambre,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
908,Parc Wolvendael,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
909,Parc Duden - Parc de Forest,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
910,Parc des Etangs,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
911,Parc Astrid,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
912,Parc Forestier,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
913,Parc Marie-José,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
914,Scheutbos,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
915,Parc Elisabeth,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
916,Bois du Laarbeek - Poelbos,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
917,Parc Baudouin - Dielegembos,TO_VALIDATE,TO_VALIDATE,TO_VALIDATE,
