MUN_FR,POP_2025,PROJ_2030,PROJ_2035,GROWTH_2025_2030_PCT,GROWTH_2025_2035_PCT
Berchem-Sainte-Agathe,25803,25900,25771,0.37592528000620085,-0.12401658721854047
Bruxelles,198314,199351,200613,0.522908115412931,1.1592726685962664
Ganshoren,25693,25853,25790,0.6227377106604912,0.3775347370879228
Jette,54390,54041,53506,-0.6416620702334989,-1.6252987681559112
Koekelberg,22979,23490,23894,2.2237695287001173,3.981896514208625
