territory_code,territory_urbis_fr,municipality_nis_codes,n_statistical_sectors,candidate_status
99,CHANT D'OISEAU,21002|21019,7,CERTAIN_NO
100,CHAUSSEE DE WAVRE - SAINT-JULIEN ,21002|21005,12,CERTAIN_NO
101,TROIS TILLEULS,21002|21017,5,CERTAIN_NO
102,TRANSVAAL,21002,6,CERTAIN_NO
103,BOITSFORT CENTRE ,21017,8,CERTAIN_NO
104,WATERMAEL CENTRE,21002|21017,13,CERTAIN_NO
105,DRIES,21004|21009|21017,11,REVIEW_BRUSSELS_CITY_MIXED
106,BOONDAEL,21004|21009|21017,11,REVIEW_BRUSSELS_CITY_MIXED
107,UNIVERSITE,21009,7,CERTAIN_NO
108,MONTJOIE - LANGEVELD,21016,4,CERTAIN_NO
109,OBSERVATOIRE,21016,6,CERTAIN_NO
110,FORT JACO,21004|21016,4,REVIEW_BRUSSELS_CITY_MIXED
111,VIVIER D'OIE,21016,1,CERTAIN_NO
112,KRIEKENPUT - HOMBORCH - VERREWINKEL,21016,4,CERTAIN_NO
113,SAINT-JOB KAUWBERG,21016,6,CERTAIN_NO
114,DIEWEG,21016,2,CERTAIN_NO
115,KALEVOET - MOENSBERG,21016,9,CERTAIN_NO
116,GLOBE,21016,7,CERTAIN_NO
117,VOSSEGAT - ROOSENDAAL,21007|21016,9,CERTAIN_NO
118,SAINT-DENIS - NEERSTALLE,21007,7,CERTAIN_NO
700,CIMETIERE DE BRUXELLES,21006,1,CERTAIN_NO
701,CIMETIERE D'IXELLES,21009,1,CERTAIN_NO
702,CIMETIERE SAINT-GILLES,21016,1,CERTAIN_NO
800,INDUSTRIE NORD,21004|21006,7,REVIEW_BRUSSELS_CITY_MIXED
801,INDUSTRIE OTAN,21004|21006,4,REVIEW_BRUSSELS_CITY_MIXED
802,DELTA,21002,2,CERTAIN_NO
803,INDUSTRIE SUD,21001|21007,5,CERTAIN_NO
804,GARE DU MIDI,21013,1,CERTAIN_NO
805,INDUSTRIE BIRMINGHAM,21001,1,CERTAIN_NO
900,DOMAINE ROYAL LAEKEN,21004,2,REVIEW_BRUSSELS_CITY
901,PARC JOSAPHAT,21015,1,CERTAIN_NO
902,BOTANIQUE,21014,1,CERTAIN_NO
903,CINQUANTENAIRE,21004|21005,2,REVIEW_BRUSSELS_CITY_MIXED
904,PARC LEOPOLD ,21004,1,REVIEW_BRUSSELS_CITY
905,PARC DE LA WOLUWE,21002|21019,4,CERTAIN_NO
906,FORET DE SOIGNES,21002|21016|21017|21019,9,CERTAIN_NO
907,BOIS DE LA CAMBRE,21004,1,REVIEW_BRUSSELS_CITY
908,PARC WOLVENDAEL,21016,1,CERTAIN_NO
909,PARC DUDEN - PARC DE FOREST,21007,2,CERTAIN_NO
910,PARC DES ETANGS,21001,1,CERTAIN_NO
911,PARC ASTRID,21001,1,CERTAIN_NO
912,PARC FORESTIER,21001,1,CERTAIN_NO
913,PARC MARIE-JOSE,21012,1,CERTAIN_NO
914,SCHEUTBOS ,21012,1,CERTAIN_NO
915,PARC ELISABETH,21008|21011,2,CERTAIN_YES
916,BOIS DU LAARBEEK - POELBOS ,21008|21010,2,CERTAIN_YES
917,PARC BAUDOUIN - DIELEGEMBOS,21010,3,CERTAIN_YES
